@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric

@data
1,'2023/11/20 17:49:24:159',1,0,0,0,0,0,0,0,0,?
2,'2023/11/20 17:49:24:177',1,0,0,0,0,0,0,0,0,?
3,'2023/11/20 17:49:24:194',1,0,0,0,0,0,0,0,0,?
4,'2023/11/20 17:49:24:209',1,0,0,0,0,0,0,0,0,?
5,'2023/11/20 17:49:24:226',1,0,0,0,0,0,0,0,0,?
6,'2023/11/20 17:49:24:244',1,0,0,0,0,0,0,0,0,?
7,'2023/11/20 17:49:24:260',1,0,0,0,0,0,0,0,0,?
8,'2023/11/20 17:49:24:277',1,0,0,0,0,0,0,0,0,?
9,'2023/11/20 17:49:24:294',1,0,0,0,0,0,0,0,0,?
10,'2023/11/20 17:49:24:310',1,0,0,0,0,0,0,0,0,?
11,'2023/11/20 17:49:24:327',1,0,0,0,0,0,0,0,0,?
12,'2023/11/20 17:49:24:344',1,0,0,0,0,0,0,0,0,?
13,'2023/11/20 17:49:24:360',1,0,0,0,0,0,0,0,0,?
14,'2023/11/20 17:49:24:376',1,0,0,0,0,0,0,0,0,?
15,'2023/11/20 17:49:24:392',1,0,0,0,0,0,0,0,0,?
16,'2023/11/20 17:49:24:410',1,0,0,0,0,0,0,0,0,?
17,'2023/11/20 17:49:24:426',1,0,0,0,0,0,0,0,0,?
18,'2023/11/20 17:49:24:443',1,0,0,0,0,0,0,0,0,?
19,'2023/11/20 17:49:24:459',1,0,0,0,0,0,0,0,0,?
20,'2023/11/20 17:49:24:476',1,0,0,0,0,0,0,0,0,?
21,'2023/11/20 17:49:24:495',1,0,0,0,0,0,0,0,0,?
22,'2023/11/20 17:49:24:511',1,0,0,0,0,0,0,0,0,?
23,'2023/11/20 17:49:24:526',1,0,0,0,0,0,0,0,0,?
24,'2023/11/20 17:49:24:543',1,0,0,0,0,0,0,0,0,?
25,'2023/11/20 17:49:24:560',1,0,0,0,0,0,0,0,0,?
26,'2023/11/20 17:49:24:577',1,0,0,0,0,0,0,0,0,?
27,'2023/11/20 17:49:24:594',1,0,0,0,0,0,0,0,0,?
28,'2023/11/20 17:49:24:610',1,0,0,0,0,0,0,0,0,?
29,'2023/11/20 17:49:24:627',1,0,0,0,0,0,0,0,0,?
30,'2023/11/20 17:49:24:643',1,0,0,0,0,0,0,0,0,?
31,'2023/11/20 17:49:24:660',1,0,0,0,0,0,0,0,0,?
32,'2023/11/20 17:49:24:676',1,0,0,0,0,0,0,0,0,?
33,'2023/11/20 17:49:24:693',1,0,0,0,0,0,0,0,0,?
34,'2023/11/20 17:49:24:711',1,0,0,0,0,0,0,0,0,?
35,'2023/11/20 17:49:24:727',1,0,0,0,0,0,0,0,0,?
36,'2023/11/20 17:49:24:743',1,0,0,0,0,0,0,0,0,?
37,'2023/11/20 17:49:24:761',1,0,0,0,0,0,0,0,0,?
38,'2023/11/20 17:49:24:777',1,0,0,0,0,0,0,0,0,?
39,'2023/11/20 17:49:24:793',1,0,0,0,0,0,0,0,0,?
40,'2023/11/20 17:49:24:810',1,0,0,0,0,0,0,0,0,?
41,'2023/11/20 17:49:24:826',1,0,0,0,0,0,0,0,0,?
42,'2023/11/20 17:49:24:844',1,0,0,0,0,0,0,0,0,?
43,'2023/11/20 17:49:24:860',1,0,0,0,0,0,0,0,0,?
44,'2023/11/20 17:49:24:876',1,0,0,0,0,0,0,0,0,?
45,'2023/11/20 17:49:24:893',1,0,0,0,0,0,0,0,0,?
46,'2023/11/20 17:49:24:911',1,0,0,0,0,0,0,0,0,?
47,'2023/11/20 17:49:24:925',1,0,0,0,0,0,0,0,0,?
48,'2023/11/20 17:49:24:943',1,0,0,0,0,0,0,0,0,?
49,'2023/11/20 17:49:24:961',1,0,0,0,0,0,0,0,0,?
50,'2023/11/20 17:49:24:977',1,0,0,0,0,0,0,0,0,?
51,'2023/11/20 17:49:24:993',1,0,0,0,0,0,0,0,0,?
52,'2023/11/20 17:49:25:010',1,0,0,0,0,0,0,0,0,?
53,'2023/11/20 17:49:25:027',1,0,0,0,0,0,0,0,0,?
54,'2023/11/20 17:49:25:044',1,0,0,0,0,0,0,0,0,?
55,'2023/11/20 17:49:25:059',1,0,0,0,0,0,0,0,0,?
56,'2023/11/20 17:49:25:076',1,0,0,0,0,0,0,0,0,?
57,'2023/11/20 17:49:25:092',1,0,0,0,0,0,0,0,0,?
58,'2023/11/20 17:49:25:110',1,0,0,0,0,0,0,0,0,?
59,'2023/11/20 17:49:25:126',1,0,0,0,0,0,0,0,0,?
60,'2023/11/20 17:49:25:142',1,0,0,0,0,0,0,0,0,?
61,'2023/11/20 17:49:25:160',1,0,0,0,0,0,0,0,0,?
62,'2023/11/20 17:49:25:176',1,0,0,0,0,0,0,0,0,?
63,'2023/11/20 17:49:25:193',1,0,0,0,0,0,0,0,0,?
64,'2023/11/20 17:49:25:209',1,0,0,0,0,0,0,0,0,?
65,'2023/11/20 17:49:25:226',1,0,0,0,0,0,0,0,0,?
66,'2023/11/20 17:49:25:243',1,0,0,0,0,0,0,0,0,?
67,'2023/11/20 17:49:25:260',1,0,0,0,0,0,0,0,0,?
68,'2023/11/20 17:49:25:276',1,0,0,0,0,0,0,0,0,?
69,'2023/11/20 17:49:25:293',1,0,0,0,0,0,0,0,0,?
70,'2023/11/20 17:49:25:309',1,0,0,0,0,0,0,0,0,?
71,'2023/11/20 17:49:25:326',1,0,0,0,0,0,0,0,0,?
72,'2023/11/20 17:49:25:344',1,0,0,0,0,0,0,0,0,?
73,'2023/11/20 17:49:25:360',1,0,0,0,0,0,0,0,0,?
74,'2023/11/20 17:49:25:376',1,0,0,0,0,0,0,0,0,?
75,'2023/11/20 17:49:25:393',1,0,0,0,0,0,0,0,0,?
76,'2023/11/20 17:49:25:409',1,0,0,0,0,0,0,0,0,?
77,'2023/11/20 17:49:43:093',2,0,0,0,0,0,0,0,0,?
78,'2023/11/20 17:49:43:110',2,0,0,0,0,0,0,0,0,?
79,'2023/11/20 17:49:43:128',2,0,0,0,0,0,0,0,0,?
80,'2023/11/20 17:49:43:144',2,0,0,0,0,0,0,0,0,?
81,'2023/11/20 17:49:43:160',2,0,0,0,0,0,0,0,0,?
82,'2023/11/20 17:49:43:178',2,0,0,0,0,0,0,0,0,?
83,'2023/11/20 17:49:43:196',2,0,0,0,0,0,0,0,0,?
84,'2023/11/20 17:49:43:211',2,0,0,0,0,0,0,0,0,?
85,'2023/11/20 17:49:43:227',2,0,0,0,0,0,0,0,0,?
86,'2023/11/20 17:49:43:243',2,0,0,0,0,0,0,0,0,?
87,'2023/11/20 17:49:43:260',2,0,0,0,0,0,0,0,0,?
88,'2023/11/20 17:49:43:277',2,0,0,0,0,0,0,0,0,?
89,'2023/11/20 17:49:43:293',2,0,0,0,0,0,0,0,0,?
90,'2023/11/20 17:49:43:311',2,0,0,0,0,0,0,0,0,?
91,'2023/11/20 17:49:43:328',2,0,0,0,0,0,0,0,0,?
92,'2023/11/20 17:49:43:344',2,0,0,0,0,0,0,0,0,?
93,'2023/11/20 17:49:43:361',2,0,0,0,0,0,0,0,0,?
94,'2023/11/20 17:49:43:378',2,0,0,0,0,0,0,0,0,?
95,'2023/11/20 17:49:43:394',2,0,0,0,0,0,0,0,0,?
96,'2023/11/20 17:49:43:411',2,0,0,0,0,0,0,0,0,?
97,'2023/11/20 17:49:43:426',2,0,0,0,0,0,0,0,0,?
98,'2023/11/20 17:49:43:444',2,0,0,0,0,0,0,0,0,?
99,'2023/11/20 17:49:43:460',2,0,0,0,0,0,0,0,0,?
100,'2023/11/20 17:49:43:477',2,0,0,0,0,0,0,0,0,?
101,'2023/11/20 17:49:43:494',2,0,0,0,0,0,0,0,0,?
102,'2023/11/20 17:49:43:510',2,0,0,0,0,0,0,0,0,?
103,'2023/11/20 17:49:43:527',2,0,0,0,0,0,0,0,0,?
104,'2023/11/20 17:49:43:544',2,0,0,0,0,0,0,0,0,?
105,'2023/11/20 17:49:43:560',2,0,0,0,0,0,0,0,0,?
106,'2023/11/20 17:49:43:577',2,0,0,0,0,0,0,0,0,?
107,'2023/11/20 17:49:43:593',2,0,0,0,0,0,0,0,0,?
108,'2023/11/20 17:49:43:610',2,0,0,0,0,0,0,0,0,?
109,'2023/11/20 17:49:43:629',2,0,0,0,0,0,0,0,0,?
110,'2023/11/20 17:49:43:643',2,0,0,0,0,0,0,0,0,?
111,'2023/11/20 17:49:43:661',2,0,0,0,0,0,0,0,0,?
112,'2023/11/20 17:49:43:677',2,0,0,0,0,0,0,0,0,?
113,'2023/11/20 17:49:43:693',2,0,0,0,0,0,0,0,0,?
114,'2023/11/20 17:49:43:709',2,0,0,0,0,0,0,0,0,?
115,'2023/11/20 17:49:43:727',2,0,0,0,0,0,0,0,0,?
116,'2023/11/20 17:49:43:744',2,0,0,0,0,0,0,0,0,?
117,'2023/11/20 17:49:43:763',2,0,0,0,0,0,0,0,0,?
118,'2023/11/20 17:49:43:776',2,0,0,0,0,0,0,0,0,?
119,'2023/11/20 17:49:43:793',2,0,0,0,0,0,0,0,0,?
120,'2023/11/20 17:49:43:811',2,0,0,0,0,0,0,0,0,?
121,'2023/11/20 17:49:43:827',2,0,0,0,0,0,0,0,0,?
122,'2023/11/20 17:49:43:843',2,0,0,0,0,0,0,0,0,?
123,'2023/11/20 17:49:43:861',2,0,0,0,0,0,0,0,0,?
124,'2023/11/20 17:49:43:876',2,0,0,0,0,0,0,0,0,?
125,'2023/11/20 17:49:43:894',2,0,0,0,0,0,0,0,0,?
126,'2023/11/20 17:49:43:910',2,0,0,0,0,0,0,0,0,?
127,'2023/11/20 17:49:43:928',2,0,0,0,0,0,0,0,0,?
128,'2023/11/20 17:49:43:944',2,0,0,0,0,0,0,0,0,?
129,'2023/11/20 17:49:43:962',2,0,0,0,0,0,0,0,0,?
130,'2023/11/20 17:49:43:978',2,0,0,0,0,0,0,0,0,?
131,'2023/11/20 17:49:43:993',2,0,0,0,0,0,0,0,0,?
132,'2023/11/20 17:49:44:012',2,0,0,0,0,0,0,0,0,?
133,'2023/11/20 17:49:56:562',3,0,0,0,0,0,0,0,0,?
134,'2023/11/20 17:49:56:578',3,0,0,0,0,0,0,0,0,?
135,'2023/11/20 17:49:56:594',3,0,0,0,0,0,0,0,0,?
