@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2023/11/26 22:25:09:742',1,0.983749,-0.002662,-0.010588,0,?,?
2,'2023/11/26 22:25:09:790',1,0.983929,-0.002333,-0.011007,0,?,?
3,'2023/11/26 22:25:09:852',1,0.983929,-0.002333,-0.011007,0,?,?
4,'2023/11/26 22:25:09:914',1,0.983181,-0.002512,-0.011007,0,?,?
5,'2023/11/26 22:25:09:977',1,0.9836,-0.002632,-0.011216,0,?,?
6,'2023/11/26 22:25:10:040',1,0.982822,-0.002722,-0.010738,0,?,?
7,'2023/11/26 22:25:10:102',1,0.983031,-0.002782,-0.010439,0,?,?
8,'2023/11/26 22:25:10:149',1,0.983001,-0.002662,-0.010469,0,?,?
9,'2023/11/26 22:25:10:211',1,0.983241,-0.002632,-0.010798,0,?,?
10,'2023/11/26 22:25:10:274',1,0.982463,-0.002782,-0.010678,0,?,?
11,'2023/11/26 22:25:10:336',1,0.98333,-0.002961,-0.010469,0,?,?
12,'2023/11/26 22:25:10:399',1,0.98336,-0.002841,-0.010439,0,?,?
13,'2023/11/26 22:25:10:461',1,0.983241,-0.002423,-0.010828,0,?,?
14,'2023/11/26 22:25:10:508',1,0.983241,-0.002423,-0.010828,0,?,?
15,'2023/11/26 22:25:10:586',1,0.982433,-0.002453,-0.011097,0,?,?
16,'2023/11/26 22:25:10:633',1,0.983121,-0.002722,-0.010857,0,?,?
17,'2023/11/26 22:25:10:695',1,0.983031,-0.002333,-0.010618,0,?,?
18,'2023/11/26 22:25:10:758',1,0.9836,-0.003051,-0.010738,0,?,?
19,'2023/11/26 22:25:10:821',1,0.98339,-0.002752,-0.010618,0,?,?
20,'2023/11/26 22:25:10:868',1,0.982613,-0.002483,-0.011037,0,?,?
21,'2023/11/26 22:25:10:930',1,0.982912,-0.002542,-0.010648,0,?,?
22,'2023/11/26 22:25:10:993',1,0.983181,-0.002722,-0.010708,0,?,?
23,'2023/11/26 22:25:11:055',1,0.98336,-0.002931,-0.010678,0,?,?
24,'2023/11/26 22:25:11:118',1,0.983749,-0.002542,-0.010977,0,?,?
25,'2023/11/26 22:25:26:301',2,0.953001,-0.244816,0.036042,0,?,?
26,'2023/11/26 22:25:26:348',2,0.95333,-0.245952,0.035025,0,?,?
27,'2023/11/26 22:25:26:411',2,0.952613,-0.247388,0.035623,0,?,?
28,'2023/11/26 22:25:26:473',2,0.952014,-0.249422,0.034247,0,?,?
29,'2023/11/26 22:25:26:536',2,0.952762,-0.248046,0.034845,0,?,?
30,'2023/11/26 22:25:26:598',2,0.951805,-0.249123,0.034038,0,?,?
31,'2023/11/26 22:25:26:661',2,0.952523,-0.249123,0.034546,0,?,?
32,'2023/11/26 22:25:26:708',2,0.952852,-0.249482,0.034816,0,?,?
33,'2023/11/26 22:25:26:770',2,0.952852,-0.249482,0.034816,0,?,?
34,'2023/11/26 22:25:26:832',2,0.951656,-0.250469,0.033589,0,?,?
35,'2023/11/26 22:25:26:895',2,0.951715,-0.251216,0.035563,0,?,?
36,'2023/11/26 22:25:26:958',2,0.951685,-0.250768,0.0332,0,?,?
37,'2023/11/26 22:25:27:020',2,0.952792,-0.249183,0.035743,0,?,?
38,'2023/11/26 22:25:27:067',2,0.952942,-0.249392,0.034128,0,?,?
39,'2023/11/26 22:25:27:129',2,0.950758,-0.250738,0.034277,0,?,?
40,'2023/11/26 22:25:33:253',3,0.836531,-0.522054,0.012951,0,?,?
41,'2023/11/26 22:25:33:315',3,0.837907,-0.520529,0.011276,0,?,?
42,'2023/11/26 22:25:33:378',3,0.8368,-0.521396,0.010977,0,?,?
43,'2023/11/26 22:25:33:440',3,0.83695,-0.521157,0.011306,0,?,?
44,'2023/11/26 22:25:33:487',3,0.838953,-0.519572,0.011725,0,?,?
45,'2023/11/26 22:25:33:550',3,0.838026,-0.52005,0.011815,0,?,?
46,'2023/11/26 22:25:33:612',3,0.837279,-0.520648,0.010678,0,?,?
47,'2023/11/26 22:25:33:675',3,0.836262,-0.521845,0.010947,0,?,?
48,'2023/11/26 22:25:33:737',3,0.84,-0.519033,0.010319,0,?,?
49,'2023/11/26 22:25:33:800',3,0.836202,-0.521605,0.011635,0,?,?
50,'2023/11/26 22:25:33:862',3,0.8368,-0.521396,0.009751,0,?,?
51,'2023/11/26 22:25:33:908',3,0.8368,-0.521396,0.009751,0,?,?
52,'2023/11/26 22:25:33:971',3,0.837069,-0.521815,0.009362,0,?,?
53,'2023/11/26 22:25:34:034',3,0.83671,-0.522323,0.010588,0,?,?
54,'2023/11/26 22:25:34:096',3,0.835125,-0.522682,0.009601,0,?,?
55,'2023/11/26 22:25:39:188',4,0.669213,-0.727209,-0.013938,0,?,?
56,'2023/11/26 22:25:39:252',4,0.667209,-0.728196,-0.014088,0,?,?
57,'2023/11/26 22:25:39:314',4,0.668375,-0.727687,-0.013848,0,?,?
58,'2023/11/26 22:25:39:376',4,0.669302,-0.726341,-0.014686,0,?,?
59,'2023/11/26 22:25:39:439',4,0.670289,-0.726042,-0.012473,0,?,?
60,'2023/11/26 22:25:39:501',4,0.668345,-0.727269,-0.01346,0,?,?
61,'2023/11/26 22:25:39:548',4,0.667089,-0.728465,-0.015613,0,?,?
62,'2023/11/26 22:25:39:611',4,0.666939,-0.728525,-0.014865,0,?,?
63,'2023/11/26 22:25:39:673',4,0.664397,-0.731456,-0.014267,0,?,?
64,'2023/11/26 22:25:39:736',4,0.66335,-0.732383,-0.015972,0,?,?
65,'2023/11/26 22:25:39:798',4,0.66335,-0.732383,-0.015972,0,?,?
66,'2023/11/26 22:25:39:861',4,0.662393,-0.733041,-0.015703,0,?,?
67,'2023/11/26 22:25:39:923',4,0.659641,-0.734896,-0.017019,0,?,?
68,'2023/11/26 22:25:39:970',4,0.66021,-0.735255,-0.016271,0,?,?
69,'2023/11/26 22:25:40:033',4,0.655125,-0.738754,-0.017498,0,?,?
70,'2023/11/26 22:25:40:095',4,0.657099,-0.737917,-0.020608,0,?,?
71,'2023/11/26 22:25:40:158',4,0.658684,-0.737528,-0.018514,0,?,?
72,'2023/11/26 22:25:40:219',4,0.654527,-0.739382,-0.019262,0,?,?
73,'2023/11/26 22:25:40:267',4,0.657129,-0.738335,-0.021326,0,?,?
74,'2023/11/26 22:25:40:345',4,0.65357,-0.740818,-0.020638,0,?,?
75,'2023/11/26 22:25:40:392',4,0.651237,-0.743121,-0.02348,0,?,?
76,'2023/11/26 22:25:40:454',4,0.651237,-0.743121,-0.02348,0,?,?
77,'2023/11/26 22:25:40:517',4,0.649292,-0.745992,-0.02318,0,?,?
78,'2023/11/26 22:25:40:579',4,0.638076,-0.751795,-0.027966,0,?,?
79,'2023/11/26 22:25:40:642',4,0.637807,-0.754038,-0.025484,0,?,?
80,'2023/11/26 22:25:40:689',4,0.642323,-0.752573,-0.026321,0,?,?
81,'2023/11/26 22:25:40:751',4,0.629851,-0.759901,-0.028684,0,?,?
82,'2023/11/26 22:25:40:814',4,0.627099,-0.761845,-0.028744,0,?,?
83,'2023/11/26 22:25:40:876',4,0.630928,-0.760379,-0.029581,0,?,?
84,'2023/11/26 22:25:40:939',4,0.627667,-0.762144,-0.028445,0,?,?
85,'2023/11/26 22:25:41:001',4,0.629372,-0.762144,-0.030449,0,?,?
86,'2023/11/26 22:25:41:048',4,0.625933,-0.7634,-0.03,0,?,?
87,'2023/11/26 22:25:41:110',4,0.625933,-0.7634,-0.03,0,?,?
88,'2023/11/26 22:25:48:078',5,0.004487,-0.990868,0.005503,0,?,?
89,'2023/11/26 22:25:48:140',5,0.004756,-0.990718,0.004098,0,?,?
90,'2023/11/26 22:25:48:202',5,0.004875,-0.990479,0.004158,0,?,?
91,'2023/11/26 22:25:48:249',5,0.004875,-0.990479,0.004158,0,?,?
92,'2023/11/26 22:25:48:312',5,0.004606,-0.990808,0.004247,0,?,?
93,'2023/11/26 22:25:48:374',5,0.004726,-0.990838,0.004008,0,?,?
94,'2023/11/26 22:25:48:437',5,0.004666,-0.990599,0.004397,0,?,?
95,'2023/11/26 22:25:48:499',5,0.004995,-0.99,0.004128,0,?,?
96,'2023/11/26 22:25:48:562',5,0.004098,-0.990329,0.004756,0,?,?
97,'2023/11/26 22:25:48:609',5,0.003978,-0.99009,0.004636,0,?,?
98,'2023/11/26 22:25:48:671',5,0.003769,-0.99006,0.003619,0,?,?
99,'2023/11/26 22:25:48:734',5,0.004756,-0.990928,0.006072,0,?,?
100,'2023/11/26 22:25:48:796',5,0.004995,-0.990539,0.00344,0,?,?
101,'2023/11/26 22:25:48:859',5,0.004995,-0.990539,0.00344,0,?,?
102,'2023/11/26 22:25:48:921',5,0.004786,-0.989881,0.004277,0,?,?
103,'2023/11/26 22:25:48:968',5,0.005204,-0.990928,0.003858,0,?,?
104,'2023/11/26 22:25:49:030',5,0.005204,-0.989971,0.004666,0,?,?
105,'2023/11/26 22:25:49:093',5,0.004756,-0.990778,0.00341,0,?,?
106,'2023/11/26 22:25:49:155',5,0.004845,-0.99018,0.003858,0,?,?
107,'2023/11/26 22:25:49:218',5,0.004696,-0.990509,0.00332,0,?,?
108,'2023/11/26 22:25:49:280',5,0.004337,-0.99015,0.003978,0,?,?
109,'2023/11/26 22:25:49:343',5,0.004636,-0.990479,0.00338,0,?,?
110,'2023/11/26 22:26:04:337',6,0.848315,0.485952,-0.029492,0,?,?
111,'2023/11/26 22:26:04:399',6,0.861296,0.483679,-0.017856,0,?,?
112,'2023/11/26 22:26:04:462',6,0.848525,0.485414,-0.027727,0,?,?
113,'2023/11/26 22:26:04:509',6,0.848525,0.485414,-0.027727,0,?,?
114,'2023/11/26 22:26:04:572',6,0.85681,0.484248,-0.022762,0,?,?
115,'2023/11/26 22:26:04:634',6,0.853789,0.484846,-0.025573,0,?,?
116,'2023/11/26 22:26:04:697',6,0.852383,0.484277,-0.026501,0,?,?
117,'2023/11/26 22:26:04:759',6,0.855972,0.484008,-0.02342,0,?,?
118,'2023/11/26 22:26:04:821',6,0.852174,0.484965,-0.025005,0,?,?
119,'2023/11/26 22:26:04:868',6,0.859203,0.483889,-0.022044,0,?,?
120,'2023/11/26 22:26:04:946',6,0.851576,0.485205,-0.025962,0,?,?
121,'2023/11/26 22:26:04:993',6,0.850888,0.485564,-0.028325,0,?,?
122,'2023/11/26 22:26:05:056',6,0.854327,0.485085,-0.027218,0,?,?
123,'2023/11/26 22:26:05:118',6,0.856451,0.484846,-0.023629,0,?,?
124,'2023/11/26 22:26:05:181',6,0.856451,0.484846,-0.023629,0,?,?
125,'2023/11/26 22:26:05:228',6,0.84682,0.486401,-0.03012,0,?,?
126,'2023/11/26 22:26:05:290',6,0.86001,0.483918,-0.022223,0,?,?
127,'2023/11/26 22:26:05:353',6,0.851785,0.484876,-0.028684,0,?,?
128,'2023/11/26 22:26:05:415',6,0.85361,0.484636,-0.022074,0,?,?
129,'2023/11/26 22:26:05:478',6,0.854208,0.484098,-0.026112,0,?,?
130,'2023/11/26 22:26:05:540',6,0.855673,0.483978,-0.022522,0,?,?
131,'2023/11/26 22:26:05:587',6,0.855015,0.484038,-0.025424,0,?,?
132,'2023/11/26 22:26:05:649',6,0.853879,0.483769,-0.024347,0,?,?
133,'2023/11/26 22:26:05:712',6,0.855703,0.483978,-0.023838,0,?,?
134,'2023/11/26 22:26:11:599',7,0.002333,0.978545,-0.02991,0,?,?
135,'2023/11/26 22:26:11:661',7,0.002333,0.978545,-0.02991,0,?,?
136,'2023/11/26 22:26:11:708',7,0.000628,0.978216,-0.029252,0,?,?
137,'2023/11/26 22:26:11:770',7,0.003619,0.978874,-0.027727,0,?,?
138,'2023/11/26 22:26:11:833',7,0.003829,0.979113,-0.025992,0,?,?
139,'2023/11/26 22:26:11:895',7,0.00015,0.978784,-0.026291,0,?,?
140,'2023/11/26 22:26:11:958',7,0.00326,0.979293,-0.02345,0,?,?
141,'2023/11/26 22:26:12:020',7,0.001525,0.978694,-0.026351,0,?,?
142,'2023/11/26 22:26:12:067',7,0.003769,0.978784,-0.026261,0,?,?
143,'2023/11/26 22:26:12:130',7,0.002602,0.979203,-0.028893,0,?,?
144,'2023/11/26 22:26:12:192',7,0.002183,0.978844,-0.025095,0,?,?
145,'2023/11/26 22:26:12:255',7,0.001466,0.978964,-0.022164,0,?,?
146,'2023/11/26 22:26:12:317',7,0.001466,0.978964,-0.022164,0,?,?
147,'2023/11/26 22:26:12:380',7,0.001436,0.978156,-0.025274,0,?,?
148,'2023/11/26 22:26:12:442',7,0.003858,0.978665,-0.026052,0,?,?
149,'2023/11/26 22:26:12:489',7,0.002213,0.978964,-0.024138,0,?,?
150,'2023/11/26 22:26:12:551',7,0.001585,0.978694,-0.020309,0,?,?
151,'2023/11/26 22:26:12:613',7,0.001316,0.978455,-0.027398,0,?,?
152,'2023/11/26 22:26:25:032',8,0.919652,-0.002004,0.35662,0,?,?
153,'2023/11/26 22:26:25:095',8,0.919592,-0.001884,0.356949,0,?,?
154,'2023/11/26 22:26:25:157',8,0.919771,-0.001735,0.354826,0,?,?
155,'2023/11/26 22:26:25:220',8,0.920489,-0.001914,0.355035,0,?,?
156,'2023/11/26 22:26:25:267',8,0.919472,-0.001705,0.355185,0,?,?
157,'2023/11/26 22:26:25:329',8,0.919472,-0.001705,0.355185,0,?,?
158,'2023/11/26 22:26:25:392',8,0.92031,-0.002423,0.355633,0,?,?
159,'2023/11/26 22:26:25:454',8,0.919592,-0.001496,0.355304,0,?,?
160,'2023/11/26 22:26:25:517',8,0.919951,-0.001944,0.355633,0,?,?
161,'2023/11/26 22:26:25:579',8,0.92001,-0.002602,0.355992,0,?,?
162,'2023/11/26 22:26:25:626',8,0.919681,-0.002064,0.355514,0,?,?
163,'2023/11/26 22:26:25:688',8,0.919293,-0.002213,0.356261,0,?,?
164,'2023/11/26 22:26:25:751',8,0.919981,-0.002004,0.355603,0,?,?
165,'2023/11/26 22:26:25:813',8,0.919472,-0.002423,0.355932,0,?,?
166,'2023/11/26 22:26:25:876',8,0.919352,-0.001735,0.357069,0,?,?
167,'2023/11/26 22:26:25:938',8,0.919293,-0.002064,0.35683,0,?,?
168,'2023/11/26 22:26:26:001',8,0.919293,-0.002064,0.35683,0,?,?
169,'2023/11/26 22:26:26:064',8,0.919263,-0.002333,0.357099,0,?,?
170,'2023/11/26 22:26:26:110',8,0.919233,-0.001914,0.357398,0,?,?
171,'2023/11/26 22:26:26:173',8,0.919233,-0.002722,0.35656,0,?,?
172,'2023/11/26 22:26:36:608',9,0.002572,-0.005563,0.989313,0,?,?
173,'2023/11/26 22:26:36:670',9,0.002841,-0.005324,0.989193,0,?,?
174,'2023/11/26 22:26:36:733',9,0.002183,-0.005563,0.989103,0,?,?
175,'2023/11/26 22:26:36:795',9,0.002692,-0.005474,0.989013,0,?,?
176,'2023/11/26 22:26:36:858',9,0.002722,-0.005444,0.989313,0,?,?
177,'2023/11/26 22:26:36:920',9,0.002542,-0.005862,0.989283,0,?,?
178,'2023/11/26 22:26:36:967',9,0.002901,-0.005773,0.989223,0,?,?
179,'2023/11/26 22:26:37:029',9,0.002901,-0.005773,0.989223,0,?,?
180,'2023/11/26 22:26:37:092',9,0.002572,-0.005533,0.989253,0,?,?
181,'2023/11/26 22:26:37:154',9,0.001854,-0.005713,0.988744,0,?,?
182,'2023/11/26 22:26:37:217',9,0.002393,-0.005444,0.989372,0,?,?
183,'2023/11/26 22:26:37:279',9,0.002393,-0.005653,0.989073,0,?,?
184,'2023/11/26 22:26:37:326',9,0.002542,-0.006072,0.989193,0,?,?
185,'2023/11/26 22:26:37:389',9,0.002213,-0.004726,0.989642,0,?,?
186,'2023/11/26 22:26:37:451',9,0.002662,-0.005474,0.989283,0,?,?
187,'2023/11/26 22:26:37:514',9,0.002183,-0.005414,0.989253,0,?,?
188,'2023/11/26 22:26:37:576',9,0.002213,-0.005683,0.989133,0,?,?
189,'2023/11/26 22:26:37:639',9,0.003141,-0.005414,0.989462,0,?,?
190,'2023/11/26 22:26:59:602',10,0.839791,0.000329,-0.512632,0,?,?
191,'2023/11/26 22:26:59:650',10,0.839492,-0.000179,-0.512363,0,?,?
192,'2023/11/26 22:26:59:712',10,0.839013,0.000329,-0.513978,0,?,?
193,'2023/11/26 22:26:59:774',10,0.839013,0.000329,-0.513978,0,?,?
194,'2023/11/26 22:26:59:837',10,0.838774,0.000179,-0.514337,0,?,?
195,'2023/11/26 22:26:59:900',10,0.837757,0.000508,-0.514547,0,?,?
196,'2023/11/26 22:26:59:947',10,0.837787,0.000329,-0.515504,0,?,?
197,'2023/11/26 22:27:00:009',10,0.837727,0.00009,-0.515713,0,?,?
198,'2023/11/26 22:27:00:072',10,0.837279,0.00006,-0.51658,0,?,?
199,'2023/11/26 22:27:00:134',10,0.837159,0.000748,-0.516281,0,?,?
200,'2023/11/26 22:27:00:196',10,0.837937,0.00006,-0.515833,0,?,?
201,'2023/11/26 22:27:00:259',10,0.837039,0.00003,-0.516461,0,?,?
202,'2023/11/26 22:27:00:321',10,0.8368,0.000299,-0.51679,0,?,?
203,'2023/11/26 22:27:00:368',10,0.836082,0.000269,-0.516222,0,?,?
204,'2023/11/26 22:27:00:431',10,0.836082,0.000269,-0.516222,0,?,?
205,'2023/11/26 22:27:00:493',10,0.83671,0.000628,-0.516551,0,?,?
206,'2023/11/26 22:27:00:556',10,0.836321,0.000568,-0.516909,0,?,?
207,'2023/11/26 22:27:00:618',10,0.836381,0.000359,-0.51658,0,?,?
208,'2023/11/26 22:27:00:680',10,0.835753,0.000598,-0.517358,0,?,?
209,'2023/11/26 22:27:00:728',10,0.836621,-0.000269,-0.51664,0,?,?
210,'2023/11/26 22:27:07:101',11,0.00326,-0.001884,-0.988535,0,?,?
211,'2023/11/26 22:27:07:148',11,0.002931,-0.002423,-0.988595,0,?,?
212,'2023/11/26 22:27:07:210',11,0.003649,-0.001735,-0.988654,0,?,?
213,'2023/11/26 22:27:07:273',11,0.003709,-0.001735,-0.988625,0,?,?
214,'2023/11/26 22:27:07:335',11,0.0032,-0.002004,-0.988714,0,?,?
215,'2023/11/26 22:27:07:397',11,0.00332,-0.001884,-0.988146,0,?,?
216,'2023/11/26 22:27:07:460',11,0.003529,-0.002243,-0.988684,0,?,?
217,'2023/11/26 22:27:07:507',11,0.003021,-0.002124,-0.989043,0,?,?
218,'2023/11/26 22:27:07:585',11,0.002722,-0.001974,-0.988894,0,?,?
219,'2023/11/26 22:27:07:632',11,0.002722,-0.001974,-0.988894,0,?,?
220,'2023/11/26 22:27:07:694',11,0.002871,-0.002124,-0.988475,0,?,?
221,'2023/11/26 22:27:07:757',11,0.00323,-0.002662,-0.988415,0,?,?
222,'2023/11/26 22:27:07:819',11,0.002961,-0.002243,-0.988056,0,?,?
223,'2023/11/26 22:27:07:866',11,0.003589,-0.002094,-0.988325,0,?,?
224,'2023/11/26 22:27:07:928',11,0.00326,-0.001944,-0.988415,0,?,?
225,'2023/11/26 22:27:08:772',12,0.003081,-0.001645,-0.988684,0,?,?
226,'2023/11/26 22:27:08:835',12,0.003021,-0.001615,-0.988565,0,?,?
227,'2023/11/26 22:27:08:898',12,0.003021,-0.001615,-0.988565,0,?,?
228,'2023/11/26 22:28:00:077',13,0.981356,-0.002512,-0.008973,0,0,0
229,'2023/11/26 22:28:00:140',13,0.983869,-0.003829,-0.008255,0,0,0
230,'2023/11/26 22:28:00:202',13,0.984048,-0.002632,-0.009452,0,0,0
231,'2023/11/26 22:28:00:249',13,0.983211,-0.002333,-0.008674,0,0,0
232,'2023/11/26 22:28:00:327',13,0.984407,-0.002931,-0.008495,0,0,0
233,'2023/11/26 22:28:00:374',13,0.983749,-0.00329,-0.008375,0,0,0
234,'2023/11/26 22:28:00:436',13,0.982732,-0.001615,-0.009153,0,0,0
235,'2023/11/26 22:28:00:499',13,0.98363,-0.002572,-0.008794,0,0,0
236,'2023/11/26 22:28:00:561',13,0.984347,-0.002393,-0.008255,0,0,0
