@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2023/12/10 22:36:38:313',1,-0.033599,0.004902,0.04273,-0.156325,0.009046,-0.145477,0.39423,0.077056,0.807549,?
2,'2023/12/10 22:36:38:313',1,-0.022522,0.012811,0.181884,-0.314977,-0.047917,-0.17902,0.387915,0.078063,0.803821,?
3,'2023/12/10 22:36:38:344',1,-0.042568,0.065069,0.345881,-0.878639,-0.062783,-0.340211,0.367228,0.077551,0.797576,?
4,'2023/12/10 22:36:38:376',1,-0.073913,0.106902,0.268293,-1.239534,0.431516,-0.573168,0.327186,0.088255,0.784777,?
5,'2023/12/10 22:36:38:423',1,0.008243,0.097928,0.112764,-1.04933,0.754881,-0.490179,0.284584,0.115067,0.771301,?
6,'2023/12/10 22:36:38:439',1,0.111975,0.102136,-0.008981,-0.848995,0.802524,-0.415115,0.255117,0.142238,0.762494,?
7,'2023/12/10 22:36:38:472',1,0.144332,0.041703,-0.031627,-0.868865,0.193166,0.07259,0.225635,0.16085,0.762416,?
8,'2023/12/10 22:36:38:542',1,0.076252,-0.027209,-0.147294,-0.936059,-0.189858,0.319694,0.194909,0.157533,0.778683,?
9,'2023/12/10 22:36:38:546',1,0.042301,-0.038192,-0.240702,-0.597384,-0.241453,0.368786,0.173322,0.147477,0.794869,?
10,'2023/12/10 22:36:38:583',1,-0.011613,-0.07246,-0.160456,-0.288567,-0.15129,0.3174,0.160992,0.138693,0.811381,?
11,'2023/12/10 22:36:38:614',1,-0.038672,-0.091349,-0.093643,-0.441369,-0.052413,0.170827,0.150413,0.132859,0.823755,?
12,'2023/12/10 22:36:38:646',1,-0.001,-0.107729,-0.174159,-0.460459,0.090506,0.102954,0.136823,0.132862,0.831611,?
13,'2023/12/10 22:36:38:678',1,0.025544,-0.131243,-0.32773,-0.167755,0.171594,0.060491,0.125587,0.13697,0.839028,?
14,'2023/12/10 22:36:38:709',1,0.05872,-0.154007,-0.411017,0.183745,0.141601,0.036521,0.126174,0.142226,0.842759,?
15,'2023/12/10 22:36:38:757',1,0.08398,-0.164927,-0.572701,0.609276,-0.016541,0.076103,0.14002,0.143731,0.844658,?
16,'2023/12/10 22:36:38:773',1,0.067967,-0.226672,-0.778754,1.100459,-0.019826,0.262391,0.165022,0.144217,0.847957,?
17,'2023/12/10 22:36:38:805',1,0.037426,-0.164153,-0.903628,2.1265,-0.296211,0.351896,0.22066,0.137456,0.853181,?
18,'2023/12/10 22:36:38:854',1,0.071028,-0.035321,-0.784279,3.114537,-0.353525,0.482812,0.314456,0.126748,0.855963,?
19,'2023/12/10 22:36:38:884',1,0.053964,0.037648,-0.671634,3.425475,-0.900858,0.586311,0.41413,0.107169,0.860691,?
20,'2023/12/10 22:36:38:917',1,-0.024328,0.187967,-0.638878,3.812043,-1.66202,0.514338,0.540964,0.057784,0.870075,?
21,'2023/12/10 22:36:38:947',1,-0.036619,0.268915,-0.413243,3.845354,-1.328778,0.301549,0.675612,-0.005009,0.87997,?
22,'2023/12/10 22:36:38:979',1,0.029446,0.433486,-0.450217,4.052355,-0.949959,0.442922,0.811752,-0.059249,0.898821,?
23,'2023/12/10 22:36:39:026',1,-0.031475,0.536698,-0.380011,4.09473,-1.188817,0.339325,0.93179,-0.11846,0.929409,?
24,'2023/12/10 22:36:39:042',1,-0.050983,0.550144,-0.387594,4.038642,-0.902904,0.065712,1.068477,-0.203531,0.985494,?
25,'2023/12/10 22:36:39:074',1,-0.00413,0.668867,-0.367001,4.500625,-0.554049,-0.390758,1.21572,-0.300233,1.061445,?
26,'2023/12/10 22:36:39:121',1,0.210865,0.725695,-0.089252,4.396691,-0.336126,-0.147991,1.344163,-0.452038,1.205683,?
27,'2023/12/10 22:36:39:153',1,0.090545,0.710346,0.203106,3.533229,-0.555985,0.082176,1.45163,-1.005461,1.751459,?
28,'2023/12/10 22:36:39:183',1,0.031418,0.692598,0.055939,3.304182,-0.556502,-0.273118,1.457673,-2.084756,2.812988,?
29,'2023/12/10 22:36:39:268',1,0.106942,0.608435,0.258415,3.071251,-0.269629,-0.435065,1.381666,-2.681807,-2.879668,?
30,'2023/12/10 22:36:39:268',1,0.091537,0.598532,0.460878,2.220599,-0.44469,-0.400208,1.311157,-2.865472,-2.700961,?
31,'2023/12/10 22:36:39:278',1,0.152058,0.465292,0.242956,1.782219,-0.170639,-0.383371,1.248876,-2.97642,-2.599056,?
32,'2023/12/10 22:36:39:310',1,0.109321,0.358612,0.362153,0.931776,-0.362063,-0.040268,1.202995,-3.017766,-2.560862,?
33,'2023/12/10 22:36:39:342',1,0.025675,0.218355,0.181649,0.681942,-0.264345,-0.065483,1.180726,-3.039062,-2.550143,?
34,'2023/12/10 22:36:39:373',1,0.017434,0.161004,0.321152,0.294617,-0.290865,-0.002156,1.162182,-3.054826,-2.541897,?
35,'2023/12/10 22:36:39:436',1,-0.008982,0.086689,0.206658,-0.001059,-0.144284,-0.028695,1.158651,-3.063679,-2.541604,?
36,'2023/12/10 22:36:39:436',1,0.049559,0.023623,0.159822,-0.124853,-0.050587,-0.057609,1.160977,-3.071305,-2.536752,?
37,'2023/12/10 22:36:39:483',1,0.091021,0.000042,0.148985,-0.266415,0.004531,0.030314,1.166704,-3.072453,-2.536195,?
38,'2023/12/10 22:36:39:515',1,0.069372,0.033663,0.002402,-0.279011,-0.098487,0.172019,1.176297,-3.059941,-2.549723,?
39,'2023/12/10 22:36:39:546',1,0.022441,-0.003858,0.00235,-0.256062,0.073354,0.063775,1.1846,-3.051429,-2.561666,?
40,'2023/12/10 22:36:39:580',1,0.040619,0.016627,0.002191,-0.331589,0.12633,0.049552,1.193507,-3.041773,-2.568402,?
41,'2023/12/10 22:36:39:612',1,0.075924,0.002434,-0.052789,-0.277226,0.013702,0.106751,1.203443,-3.02886,-2.578238,?
42,'2023/12/10 22:36:39:644',1,0.07428,-0.004176,0.038675,-0.337911,0.021448,0.272353,1.21229,-3.010053,-2.599726,?
43,'2023/12/10 22:36:39:690',1,-0.009919,0.028578,0.0773,-0.514633,0.230347,0.273877,1.223977,-2.979731,-2.628684,?
44,'2023/12/10 22:36:39:707',1,-0.04861,0.014667,-0.123113,-0.215908,-0.040074,0.16508,1.23507,-2.944768,-2.660302,?
45,'2023/12/10 22:36:39:738',1,-0.045233,-0.027303,-0.04342,-0.166185,0.051458,0.071213,1.240554,-2.931806,-2.675544,?
46,'2023/12/10 22:36:41:232',2,-0.021604,-0.098456,-0.339802,0.498093,-0.156393,-0.03121,0.047374,0.167734,0.955579,?
47,'2023/12/10 22:36:41:244',2,0.105076,-0.179535,-0.425714,0.700768,-0.293439,0.029455,0.067449,0.160997,0.951239,?
48,'2023/12/10 22:36:41:455',2,0.235673,-0.204589,-0.559622,1.141011,-0.506022,0.392747,0.095023,0.148675,0.953146,?
49,'2023/12/10 22:36:41:455',2,0.089803,-0.15981,-0.616267,1.650875,-0.538642,0.462451,0.145575,0.12824,0.963018,?
50,'2023/12/10 22:36:41:455',2,0.050545,-0.079059,-0.65928,2.281374,-0.276917,0.29624,0.214764,0.113227,0.967644,?
51,'2023/12/10 22:36:41:455',2,0.064724,0.032703,-0.527399,2.527644,-0.312177,0.298094,0.2879,0.105037,0.969109,?
52,'2023/12/10 22:36:41:455',2,-0.030935,0.123362,-0.458556,2.721238,-0.097389,0.206851,0.378981,0.097243,0.968716,?
53,'2023/12/10 22:36:41:455',2,0.002137,0.220174,-0.454515,2.997095,-0.236811,0.279968,0.478627,0.092875,0.966251,?
54,'2023/12/10 22:36:41:482',2,-0.155323,0.295677,-0.380191,3.215214,-0.178089,0.254778,0.571381,0.086296,0.966248,?
55,'2023/12/10 22:36:41:513',2,-0.140554,0.411382,-0.262521,3.525255,-0.281405,-0.048459,0.689728,0.08306,0.957039,?
56,'2023/12/10 22:36:41:545',2,-0.026952,0.413569,-0.138279,3.410948,-0.074889,-0.018298,0.792452,0.086787,0.942941,?
57,'2023/12/10 22:36:41:593',2,0.052395,0.413363,-0.132137,3.459759,-0.184421,0.186816,0.912147,0.094233,0.930011,?
58,'2023/12/10 22:36:41:624',2,0.012115,0.440223,-0.074129,3.255795,-0.753274,0.345317,1.029364,0.076582,0.931208,?
59,'2023/12/10 22:36:41:641',2,-0.006313,0.44807,-0.044932,3.156587,-0.658646,0.138382,1.125238,0.0527,0.932511,?
60,'2023/12/10 22:36:41:689',2,0.053707,0.43928,0.07174,2.919288,-0.286415,0.185605,1.231587,0.034595,0.933786,?
61,'2023/12/10 22:36:41:719',2,0.027835,0.411128,-0.035273,2.925017,-0.104357,0.16374,1.331574,0.016668,0.947203,?
62,'2023/12/10 22:36:41:751',2,0.028076,0.434058,0.107098,2.742179,-0.088621,0.053193,1.417397,0.000501,0.960879,?
63,'2023/12/10 22:36:41:798',2,0.091997,0.374144,0.154501,2.296279,-0.209285,0.045307,1.504472,-0.021666,0.979113,?
64,'2023/12/10 22:36:41:815',2,0.081,0.364581,0.13566,2.018427,-0.354482,0.04004,1.56154,-2.738078,-2.598526,?
65,'2023/12/10 22:36:41:845',2,0.151919,0.334266,0.019199,2.065846,-0.058152,0.207781,1.492538,-3.063413,-2.281079,?
66,'2023/12/10 22:36:41:877',2,-0.079464,0.319533,0.098492,2.109121,0.283784,0.312996,1.429283,-3.028488,-2.311658,?
67,'2023/12/10 22:36:41:924',2,-0.081698,0.332411,0.295625,1.683227,-0.190282,-0.0917,1.361429,-3.039306,-2.297306,?
68,'2023/12/10 22:36:41:940',2,-0.029055,0.244916,0.445557,0.845098,-0.049939,-0.471423,1.318721,-3.100603,-2.241164,?
69,'2023/12/10 22:36:41:974',2,0.143586,0.176728,0.353727,0.525672,0.100157,-0.500129,1.298538,3.123268,-2.178484,?
70,'2023/12/10 22:36:42:019',2,0.212988,0.119802,0.338644,0.068765,-0.01071,0.078305,1.288028,3.097358,-2.149709,?
71,'2023/12/10 22:36:42:051',2,0.077757,0.058978,0.284331,-0.470341,-0.187578,0.318185,1.294825,3.12221,-2.17944,?
72,'2023/12/10 22:36:42:083',2,0.03305,0.016147,0.062198,-0.627378,0.14088,0.293795,1.316246,-3.122991,-2.220663,?
73,'2023/12/10 22:36:42:130',2,-0.002591,0.016351,-0.016424,-0.462218,0.094589,0.237783,1.331244,-3.08354,-2.257411,?
74,'2023/12/10 22:36:42:146',2,0.021194,0.009635,-0.109685,-0.365751,0.228834,0.211885,1.346639,-3.044722,-2.291555,?
75,'2023/12/10 22:36:42:177',2,-0.022345,-0.003349,-0.061897,-0.254311,0.184027,0.220938,1.354823,-2.99542,-2.334591,?
76,'2023/12/10 22:36:42:209',2,-0.04714,-0.014861,-0.010592,-0.392668,0.100181,0.118108,1.363882,-2.960295,-2.365985,?
